situacao_na_venda,val_avaliacao,segmento,UF,Tipo_de_imovel,dias_ate_ser_vendido
1,67266.66,1,13,1,1563
1,67500.0,1,13,1,1554
1,67568.65,1,18,1,1554
1,67726.13,1,16,1,1681
0,60980.18,1,19,1,1617
0,61000.0,1,8,11,1296
0,61000.0,1,19,1,1740
1,66554.4,2,16,1,1736
1,68000.0,1,19,1,1613
1,68000.0,1,16,1,1681
1,68000.0,1,16,1,1732
1,68076.49,1,16,1,1736
1,67000.0,2,19,1,1793
1,67000.0,2,19,1,1556
1,67000.0,2,18,0,1619
1,68310.0,1,4,1,1535
1,68424.18,1,2,1,1555
1,68424.8,1,1,1,1613
1,67200.0,2,24,1,1561
1,68500.0,1,13,1,1775
0,62000.0,1,8,1,1564
0,62000.0,1,10,1,1803
1,69000.0,1,4,1,1562
1,69000.0,1,24,1,1142
1,69000.0,1,10,1,1526
1,61000.0,0,10,11,60
1,68000.0,2,13,1,1768
1,68000.0,2,19,1,1561
1,68000.0,2,13,1,1549
1,68000.0,2,13,1,1568
1,68000.0,2,8,1,522
1,69478.0,1,16,1,1562
1,69645.4,1,13,1,1561
1,69665.23,1,16,1,1648
1,68400.32,2,19,1,1582
1,69720.0,1,16,1,1635
1,69752.35,1,13,1,1690
1,69916.24,1,13,1,1775
1,70000.0,1,16,1,1780
1,70000.0,1,19,1,1740
1,70000.0,1,24,1,1520
1,70000.0,1,10,1,458
1,70000.0,1,19,1,1582
1,70000.0,1,18,1,1428
0,63000.0,1,19,1,1774
0,63000.0,1,19,1,1807
1,69000.0,2,15,1,1554
0,59680.0,2,19,11,1801
1,71000.0,1,19,1,252
1,71000.0,1,16,1,1555
1,71000.0,1,19,1,1739
1,71000.0,1,15,1,1520
1,71000.0,1,19,1,457
1,71000.0,1,19,1,351
1,71000.0,1,19,1,147
1,71000.0,1,4,1,191
1,71000.0,1,19,1,1633
1,71000.0,1,19,1,1823
1,71000.0,1,15,1,1736
1,71000.0,1,19,1,1800
1,71000.0,1,8,1,1593
1,71000.0,1,5,1,1663
1,71000.0,1,19,1,130
1,71000.0,1,13,1,1647
1,71089.66,1,16,1,1736
1,71500.0,1,19,1,437
1,71618.15,1,19,1,457
1,71800.0,1,16,1,1613
1,71831.0,1,19,1,456
1,70600.0,2,24,1,1520
1,70600.0,2,15,1,851
0,61000.0,2,8,1,655
1,72000.0,1,16,1,1736
1,72000.0,1,10,1,1633
1,72000.0,1,13,1,975
1,72000.0,1,19,1,462
1,72000.0,1,19,1,450
1,72000.0,1,10,1,85
1,72033.82,1,13,1,1627
1,72151.87,1,16,1,1648
1,72200.0,1,13,1,1562
0,65000.0,1,10,1,1432
1,71000.0,2,10,1,133
1,71000.0,2,8,1,1676
1,71000.0,2,19,1,1586
1,71000.0,2,13,1,1736
1,71000.0,2,18,0,1375
1,71000.0,2,8,1,1676
1,72364.71,1,2,1,1613
1,72500.0,1,19,1,1576
1,72500.0,1,19,1,217
1,72623.05,1,16,1,1736
1,72701.0,1,16,1,655
1,63947.71,0,24,11,1710
1,71383.09,2,15,1,106
1,72837.44,1,13,1,1526
1,72862.59,1,19,1,1632
0,57500.0,0,18,11,114
1,73000.0,1,13,1,1606
1,73000.0,1,19,1,457
1,73000.0,1,16,1,1613
1,73000.0,1,13,1,1695
1,73000.0,1,19,1,457
1,73000.0,1,19,1,452
1,73000.0,1,19,1,1753
1,73000.0,1,19,1,1303
1,73100.0,1,13,1,1562
0,62000.0,2,16,1,1639
